phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
2.877086956765846e-06,8.921057068500253e-12,4.882133472758803e-16,7.006267375373604e-19,-1.3989918255842763e-35,-7.085895114559159e-25,1.4824495967412924e-36,8.0
1.789746584077777e-06,8.92588346013498e-11,4.081006877645362e-17,3.687636955953024e-17,5.467194980000373e-33,1.7197992497439497e-22,2.711473369137429e-33,8.0
2.834764608885251e-06,3.792552830974842e-11,6.067115652872892e-16,5.839422123431221e-17,6.951124939402929e-33,7.42590044980568e-23,-1.0686432406775504e-32,8.0
3.957159218396018e-06,1.8029032696875036e-11,2.3586969417772224e-15,1.1859719373175117e-15,2.861092482242178e-30,4.0222516537910254e-21,-5.530213957125594e-31,8.0
2.4679124382021174e-06,5.437419192853359e-11,3.2204427184008466e-15,6.387202036248261e-16,9.980430420148607e-31,1.6013497972803444e-21,-1.0272921695302608e-30,8.0
3.0920263926667193e-06,9.56158379722508e-12,1.5487741366584886e-14,7.229459382182858e-15,1.2080814782862761e-28,1.5741154937952382e-20,-1.5898131690304865e-29,9.0
6.258361809333067e-06,5.938772632372643e-11,2.471977460443059e-14,2.0308366755491197e-14,5.8134318870653785e-28,1.3312882164491425e-19,-4.801663253823694e-28,9.0
5.3965359787912895e-06,1.3524703921836568e-10,1.3404433813224502e-14,2.340092952553758e-14,7.64612030497756e-28,1.730826522568713e-19,-4.313920654513744e-28,9.0
4.77023616402213e-06,1.3082125897542925e-10,1.2802357452152782e-14,4.750424925011845e-15,4.6006961512826147e-29,2.6700650330015943e-20,-3.819429960713952e-29,9.0
3.999389503208387e-06,1.6186466169859936e-10,1.849631211273993e-14,3.06905503604559e-14,1.2495123028781926e-27,2.2115183013149296e-19,-4.488636058818674e-28,9.0
6.468782852235749e-06,8.214043047766296e-11,2.2004494506930146e-14,2.130184059035239e-14,6.4047843223909335e-28,1.5199151552771306e-19,-5.095621977906962e-28,9.0
2.8104877237416113e-06,8.051830026672207e-12,4.649217378329122e-16,8.548271550621052e-17,-3.288944467578973e-33,2.1820060504798163e-22,-2.0193278233398966e-32,9.0
1.8620301385967025e-06,2.1524412854232463e-11,6.3243594819784065e-15,2.253817689264607e-15,1.1681471023690953e-29,5.8726934433854304e-21,-6.538514964099506e-30,9.0
1.5793897668023753e-06,2.045441355781303e-11,7.699109858714345e-15,7.059243649011596e-15,9.777159997593346e-29,1.816452948160298e-20,6.757334369078017e-29,9.0
1.7386766993271117e-06,3.9013711542794825e-12,4.522434740137508e-15,1.8739973166256315e-15,7.335441454509528e-30,3.2982018753386134e-21,-8.164324288096372e-31,9.0
