phi0,phi1,phi2,phi3,phi4,phi5,phi6,classe
0.000160297,2.57E-08,8.13E-12,8.13E-12,6.60E-23,1.30E-15,-6.60E-23,0
0.000161615,2.61E-08,6.31E-12,6.31E-12,3.98E-23,1.02E-15,-3.98E-23,0
0.000170586,2.91E-08,5.03E-13,5.03E-13,2.53E-25,8.57E-17,-2.53E-25,0
0.000155088,2.41E-08,3.51E-13,3.51E-13,1.23E-25,5.44E-17,-1.23E-25,0
0.000155844,2.43E-08,3.88E-12,3.88E-12,1.51E-23,6.05E-16,-1.51E-23,0
0.000157069,2.47E-08,2.35E-13,2.35E-13,5.53E-26,3.69E-17,-5.53E-26,0
0.000141351,2.00E-08,1.84E-12,1.84E-12,3.38E-24,2.60E-16,-3.38E-24,0
0.000158429,2.51E-08,6.56E-16,6.56E-16,4.31E-31,1.04E-19,-4.31E-31,0
0.000161128,2.60E-08,3.55E-12,3.55E-12,1.26E-23,5.72E-16,-1.26E-23,0
0.000162318,2.63E-08,5.96E-13,5.96E-13,3.56E-25,9.68E-17,-3.56E-25,0
0.000153681,2.36E-08,8.75E-13,8.75E-13,7.66E-25,1.35E-16,-7.66E-25,0
0.000170884,2.92E-08,2.57E-16,2.57E-16,6.62E-32,4.40E-20,-6.62E-32,0
0.000153796,2.37E-08,2.24E-12,2.24E-12,5.00E-24,3.44E-16,-5.00E-24,0
0.000151665,2.30E-08,4.24E-12,4.24E-12,1.79E-23,6.42E-16,-1.79E-23,0
0.000149565,2.24E-08,4.96E-14,4.96E-14,2.47E-27,7.43E-18,-2.47E-27,0
0.000147756,2.18E-08,7.75E-13,7.75E-13,6.01E-25,1.15E-16,-6.01E-25,0
0.000143716,2.07E-08,4.44E-12,4.44E-12,1.97E-23,6.39E-16,-1.97E-23,0
0.000171107,2.93E-08,5.39E-12,5.39E-12,2.91E-23,9.23E-16,-2.91E-23,0
0.000143664,2.06E-08,2.16E-12,2.16E-12,4.67E-24,3.11E-16,-4.67E-24,0
0.000152798,2.33E-08,5.32E-14,5.32E-14,2.83E-27,8.13E-18,-2.83E-27,0
0.000162412,2.64E-08,2.42E-12,2.42E-12,5.88E-24,3.94E-16,-5.88E-24,0
0.000170252,2.90E-08,1.42E-11,1.42E-11,2.01E-22,2.41E-15,-2.01E-22,0
0.000145202,2.11E-08,1.19E-12,1.19E-12,1.43E-24,1.73E-16,-1.43E-24,0
0.000189661,3.60E-08,4.06E-12,4.06E-12,1.65E-23,7.70E-16,-1.65E-23,0
0.00012924,1.67E-08,4.78E-13,4.78E-13,2.29E-25,6.18E-17,-2.29E-25,0
0.000196919,3.88E-08,2.03E-11,2.03E-11,4.13E-22,4.00E-15,-4.13E-22,0
0.000152424,2.32E-08,2.06E-12,2.06E-12,4.23E-24,3.13E-16,-4.23E-24,0
0.000180143,3.25E-08,1.61E-12,1.61E-12,2.58E-24,2.89E-16,-2.58E-24,0
0.000207005,4.29E-08,9.17E-12,9.17E-12,8.41E-23,1.90E-15,-8.41E-23,0
0.000149972,2.25E-08,1.94E-13,1.94E-13,3.75E-26,2.90E-17,-3.75E-26,0
0.000199631,3.99E-08,6.37E-12,6.37E-12,4.06E-23,1.27E-15,-4.06E-23,0
0.000165243,2.73E-08,1.26E-12,1.26E-12,1.60E-24,2.09E-16,-1.60E-24,0
0.000158842,2.52E-08,1.21E-12,1.21E-12,1.47E-24,1.92E-16,-1.47E-24,0
0.000226279,5.12E-08,4.16E-11,4.16E-11,1.73E-21,9.40E-15,-1.73E-21,0
0.000205522,4.22E-08,8.95E-12,8.95E-12,8.01E-23,1.84E-15,-8.01E-23,0
0.00016002,2.56E-08,3.80E-12,3.80E-12,1.45E-23,6.08E-16,-1.45E-23,0
0.000182274,3.32E-08,6.08E-12,6.08E-12,3.70E-23,1.11E-15,-3.70E-23,0
0.00023128,5.35E-08,5.38E-12,5.38E-12,2.90E-23,1.24E-15,-2.90E-23,0
0.0001607,2.58E-08,9.54E-12,9.54E-12,9.10E-23,1.53E-15,-9.10E-23,0
0.000153814,2.37E-08,1.10E-12,1.10E-12,1.22E-24,1.70E-16,-1.22E-24,0
0.000203679,4.15E-08,3.53E-11,3.53E-11,1.24E-21,7.19E-15,-1.24E-21,0
0.000222152,4.94E-08,6.36E-11,6.36E-11,4.04E-21,1.41E-14,-4.04E-21,0
0.000223299,4.99E-08,6.05E-11,6.05E-11,3.66E-21,1.35E-14,-3.66E-21,0
0.000150079,2.25E-08,1.71E-12,1.71E-12,2.91E-24,2.56E-16,-2.91E-24,0
0.000207681,4.31E-08,1.51E-12,1.51E-12,2.28E-24,3.13E-16,-2.28E-24,0
0.000148778,2.21E-08,2.09E-12,2.09E-12,4.35E-24,3.10E-16,-4.35E-24,0
0.00018169,3.30E-08,8.23E-13,8.23E-13,6.77E-25,1.49E-16,-6.77E-25,0
0.000138899,1.93E-08,1.46E-15,1.46E-15,2.12E-30,2.02E-19,-2.12E-30,0
0.00016881,2.85E-08,6.70E-14,6.70E-14,4.49E-27,1.13E-17,-4.49E-27,0
0.000200802,4.03E-08,1.08E-11,1.08E-11,1.16E-22,2.16E-15,-1.16E-22,0
0.000178228,3.18E-08,1.03E-11,1.03E-11,1.07E-22,1.84E-15,-1.07E-22,0
0.000198293,3.93E-08,3.80E-11,3.80E-11,1.45E-21,7.54E-15,-1.45E-21,0
0.000208174,4.33E-08,5.09E-12,5.09E-12,2.59E-23,1.06E-15,-2.59E-23,0
0.000172358,2.97E-08,9.16E-12,9.16E-12,8.40E-23,1.58E-15,-8.40E-23,0
0.000194679,3.79E-08,9.99E-12,9.99E-12,9.99E-23,1.95E-15,-9.99E-23,0
0.000155466,2.42E-08,2.10E-12,2.10E-12,4.42E-24,3.27E-16,-4.42E-24,0
0.000153022,2.34E-08,1.39E-12,1.39E-12,1.94E-24,2.13E-16,-1.94E-24,0
0.00015082,2.27E-08,9.51E-13,9.51E-13,9.05E-25,1.43E-16,-9.05E-25,0
0.000130767,1.71E-08,2.52E-14,2.52E-14,6.36E-28,3.30E-18,-6.36E-28,0
0.000161833,2.62E-08,3.05E-13,3.05E-13,9.30E-26,4.94E-17,-9.30E-26,0
0.00017375,3.02E-08,1.80E-15,1.80E-15,3.23E-30,3.12E-19,-3.23E-30,0
0.000149848,2.25E-08,8.93E-13,8.93E-13,7.98E-25,1.34E-16,-7.98E-25,0
0.000181865,3.31E-08,1.49E-11,1.49E-11,2.22E-22,2.71E-15,-2.22E-22,0
0.000146431,2.14E-08,5.63E-13,5.63E-13,3.17E-25,8.24E-17,-3.17E-25,0
0.000151692,2.30E-08,1.41E-12,1.41E-12,1.99E-24,2.14E-16,-1.99E-24,0
0.000158576,2.51E-08,4.54E-13,4.54E-13,2.06E-25,7.20E-17,-2.06E-25,0
0.000153191,2.35E-08,8.48E-14,8.48E-14,7.19E-27,1.30E-17,-7.19E-27,0
0.000138763,1.93E-08,4.76E-19,4.76E-19,2.26E-37,6.60E-23,-2.26E-37,0
0.000171721,2.95E-08,1.38E-13,1.38E-13,1.91E-26,2.37E-17,-1.91E-26,0
0.000159887,2.56E-08,4.07E-13,4.07E-13,1.66E-25,6.51E-17,-1.66E-25,0
0.000161783,2.62E-08,9.04E-12,9.04E-12,8.18E-23,1.46E-15,-8.18E-23,0
0.000159203,2.53E-08,1.40E-12,1.40E-12,1.96E-24,2.23E-16,-1.96E-24,0
0.000146995,2.16E-08,1.99E-13,1.99E-13,3.98E-26,2.93E-17,-3.98E-26,0
0.000156347,2.44E-08,3.35E-13,3.35E-13,1.12E-25,5.24E-17,-1.12E-25,0
0.000174632,3.05E-08,1.62E-12,1.62E-12,2.64E-24,2.84E-16,-2.64E-24,0
0.000148799,2.21E-08,1.16E-12,1.16E-12,1.35E-24,1.73E-16,-1.35E-24,0
0.000161658,2.61E-08,1.24E-12,1.24E-12,1.54E-24,2.01E-16,-1.54E-24,0
0.000165257,2.73E-08,1.43E-12,1.43E-12,2.06E-24,2.37E-16,-2.06E-24,0
0.00017522,3.07E-08,1.28E-13,1.28E-13,1.64E-26,2.24E-17,-1.64E-26,0
0.000150148,2.25E-08,1.07E-12,1.07E-12,1.15E-24,1.61E-16,-1.15E-24,0
0.000156318,2.44E-08,2.75E-13,2.75E-13,7.56E-26,4.30E-17,-7.56E-26,0
